項目,値
分析期間開始回号,6361
分析期間終了回号,6860
分析対象回数,497
極CUBE内出現回数,454
極CUBE内出現率(%),91.35
横方向つながり,193
縦方向つながり,182
斜め方向つながり,565
混合つながり,963
つながりなし,130
つながり統計合計,2033
