項目,値
分析期間開始回号,3861
分析期間終了回号,6860
分析対象回数,2966
極CUBE内出現回数,2681
極CUBE内出現率(%),90.39
横方向つながり,1214
縦方向つながり,1036
斜め方向つながり,3361
混合つながり,5554
つながりなし,845
つながり統計合計,12010
