項目,値
分析期間開始回号,61
分析期間終了回号,6860
分析対象回数,6766
極CUBE内出現回数,6130
極CUBE内出現率(%),90.60
横方向つながり,2824
縦方向つながり,2427
斜め方向つながり,7833
混合つながり,12844
つながりなし,1906
つながり統計合計,27834
