項目,値
分析期間開始回号,6800
分析期間終了回号,6850
分析対象回数,48
極CUBE内出現回数,40
極CUBE内出現率(%),83.33
横方向つながり,29
縦方向つながり,22
斜め方向つながり,45
混合つながり,125
つながりなし,11
つながり統計合計,232
