項目,値
分析期間開始回号,6811
分析期間終了回号,6860
総回数,50
極CUBE内出現回数,42
極CUBE内出現率(%),89.36
横方向つながり,18
縦方向つながり,0
斜め方向つながり,0
混合つながり,0
つながりなし,24
