項目,値
分析期間開始回号,6369
分析期間終了回号,6868
総回数,500
極CUBE内出現回数,0
極CUBE内出現率(%),0.00
横方向つながり,0
縦方向つながり,0
斜め方向つながり,0
混合つながり,0
つながりなし,0
